StartTime: 2025-07-11 13:40:10
Timestamp;W;A;D;Space;HP;HRV;State;Breathing;Death;EnemiesVisible;Checkpoint;X;Y
3,63;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,64;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,66;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,68;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,69;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,71;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,73;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,74;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,76;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,78;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,79;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,81;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,83;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,84;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,86;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,88;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,89;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,91;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,93;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,94;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,96;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,98;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
3,99;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,01;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,03;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,04;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,06;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,08;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,09;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,11;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,13;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,14;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,16;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,18;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,19;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,21;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,23;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,24;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,26;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,28;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,29;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,31;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,32;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,34;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,36;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,37;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,39;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,41;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,42;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,44;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,46;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,47;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,49;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,51;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,52;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,54;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,56;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,57;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,59;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,61;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,62;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,64;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,66;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,67;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,69;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,71;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,72;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,74;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,76;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,77;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,79;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,81;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,82;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,84;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,86;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,87;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,89;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,91;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,92;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,94;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,96;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,97;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
4,99;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,01;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,02;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,04;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,06;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,07;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,09;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,11;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,12;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,14;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,16;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,17;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,19;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,21;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,22;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,24;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,26;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,27;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,29;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,31;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,32;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,34;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,36;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,37;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,39;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,41;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,42;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,44;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,46;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,47;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,49;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,51;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,52;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,54;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,55;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,57;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,59;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,60;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,62;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,64;0;0;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,65;0;1;0;0;85;69;0;0;0;0;0;-14,00;-9,13
5,67;0;1;0;0;85;69;0;0;0;0;0;-14,11;-9,13
5,69;0;1;0;0;85;69;0;0;0;0;0;-14,22;-9,13
5,70;0;1;0;0;85;69;0;0;0;0;0;-14,34;-9,13
5,72;0;1;0;0;85;69;0;0;0;0;0;-14,45;-9,13
5,74;0;1;0;0;85;69;0;0;0;0;0;-14,45;-9,13
5,75;0;1;0;0;85;69;0;0;0;0;0;-14,56;-9,13
5,77;0;1;0;0;85;69;0;0;0;0;0;-14,67;-9,13
5,79;0;1;0;0;85;69;0;0;0;0;0;-14,78;-9,13
5,80;0;1;0;0;85;69;0;0;0;0;0;-14,90;-9,13
5,82;0;1;0;0;85;69;0;0;0;0;0;-14,90;-9,13
5,84;0;1;0;0;85;69;0;0;0;0;0;-15,01;-9,13
5,85;0;1;0;0;85;69;0;0;0;0;0;-15,12;-9,13
5,87;0;1;0;0;85;69;0;0;0;0;0;-15,23;-9,13
5,89;0;1;0;0;85;69;0;0;0;0;0;-15,35;-9,13
5,90;0;1;0;0;85;69;0;0;0;0;0;-15,46;-9,13
5,92;0;1;0;0;85;69;0;0;0;0;0;-15,46;-9,13
5,94;0;1;0;0;85;69;0;0;0;0;0;-15,57;-9,13
5,95;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
5,97;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
5,99;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,00;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,02;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,04;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,05;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,07;0;0;0;0;85;69;0;0;0;0;0;-15,68;-9,13
6,09;0;0;1;0;85;69;0;0;0;0;0;-15,68;-9,13
6,10;0;0;1;0;85;69;0;0;0;0;0;-15,57;-9,13
6,12;0;0;1;0;85;69;0;0;0;0;0;-15,57;-9,13
6,14;0;0;1;0;85;69;0;0;0;0;0;-15,46;-9,13
6,15;0;0;1;0;85;69;0;0;0;0;0;-15,35;-9,13
6,17;0;0;1;0;85;69;0;0;0;0;0;-15,23;-9,13
6,19;0;0;1;0;85;69;0;0;0;0;0;-15,12;-9,13
6,20;0;0;1;0;85;69;0;0;0;0;0;-15,01;-9,13
6,22;0;0;1;0;85;69;0;0;0;0;0;-15,01;-9,13
6,24;0;0;1;0;85;69;0;0;0;0;0;-14,90;-9,13
6,25;0;0;1;0;85;69;0;0;0;0;0;-14,78;-9,13
6,27;0;0;1;0;85;69;0;0;0;0;0;-14,67;-9,13
6,29;0;0;1;0;85;69;0;0;0;0;0;-14,56;-9,13
6,30;0;0;1;0;85;69;0;0;0;0;0;-14,45;-9,13
6,32;0;0;0;0;85;69;0;0;0;0;0;-14,45;-9,13
6,34;0;0;0;0;85;69;0;0;0;0;0;-14,45;-9,13
6,35;0;0;0;0;85;69;0;0;0;0;0;-14,45;-9,13
6,37;0;0;0;0;85;69;0;0;0;0;0;-14,45;-9,13
6,39;0;0;0;0;85;69;0;0;0;0;0;-14,45;-9,13
